순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/AB,규정타석_충족,시즌진행중,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,2024,0.0263,True,,53,134,133,1.01,6,0.59,4.26,0.16,88.3,0.282
28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,2024,0.0402,True,,45,102,118,0.86,5,0.58,3.83,0.191,73.6,0.287
29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,2024,0.0205,True,,35,127,122,1.04,8,0.76,4.01,0.128,71.2,0.272
30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7,2024,0.0791,True,,66,75,150,0.5,14,0.48,3.84,0.303,103.9,0.321
31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,2024,0.0291,True,,36,100,108,0.93,3,0.51,3.92,0.145,64.8,0.272
32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,2024,0.0473,True,,53,139,127,1.09,9,0.46,4.0,0.191,93.4,0.282
33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3,2024,0.0226,False,,26,108,90,1.2,7,0.49,4.0,0.113,55.5,0.263
34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,2024,0.0195,True,,32,141,127,1.11,4,0.3,3.78,0.107,65.1,0.252
35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,2024,0.0078,True,,28,160,141,1.13,4,0.99,4.1,0.076,81.8,0.259
36,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9,2024,0.0612,True,,57,65,116,0.56,7,0.38,4.02,0.243,91.9,0.297
37,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,2024,0.0345,True,,59,97,124,0.78,9,0.2,3.78,0.196,78.9,0.267
38,최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5,2024,0.0518,True,,47,99,126,0.79,12,0.6,4.04,0.219,77.0,0.287
39,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49,6,2,2024,0.0228,True,,40,117,164,0.71,4,0.7,4.05,0.143,74.4,0.26
40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,2024,0.0173,True,,33,86,100,0.86,3,0.44,4.0,0.119,59.5,0.258
41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,2024,0.0527,True,,48,103,100,1.03,7,0.49,3.96,0.211,79.4,0.285
42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,2024,0.0461,True,,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272
43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,2024,0.0456,True,,46,114,144,0.79,6,0.47,3.99,0.183,86.2,0.274
44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,2024,0.0459,True,,44,100,140,0.71,7,0.59,3.81,0.193,70.4,0.274
